ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
635,Design Log Storage System,58.6%,Medium,0.4485486942444761, https://leetcode.com/problems/design-log-storage-system
465,Optimal Account Balancing,46.9%,Hard,0.4474602291447676, https://leetcode.com/problems/optimal-account-balancing
221,Maximal Square,37.7%,Medium,0.4439595076531865, https://leetcode.com/problems/maximal-square
124,Binary Tree Maximum Path Sum,34.3%,Hard,0.441287801236834, https://leetcode.com/problems/binary-tree-maximum-path-sum
384,Shuffle an Array,52.8%,Medium,0.4403223646462055, https://leetcode.com/problems/shuffle-an-array
564,Find the Closest Palindrome,19.7%,Hard,0.437122427978856, https://leetcode.com/problems/find-the-closest-palindrome
361,Bomb Enemy,46.0%,Medium,0.4333220626111306, https://leetcode.com/problems/bomb-enemy
84,Largest Rectangle in Histogram,35.2%,Hard,0.4290442770294724, https://leetcode.com/problems/largest-rectangle-in-histogram
737,Sentence Similarity II,45.8%,Medium,0.4265185173059967, https://leetcode.com/problems/sentence-similarity-ii
218,The Skyline Problem,34.6%,Hard,0.4204066881063634, https://leetcode.com/problems/the-skyline-problem
199,Binary Tree Right Side View,54.1%,Medium,0.4149653568031601, https://leetcode.com/problems/binary-tree-right-side-view
997,Find the Town Judge,50.1%,Easy,0.4133303171933845, https://leetcode.com/problems/find-the-town-judge
46,Permutations,63.5%,Medium,0.4129368608374428, https://leetcode.com/problems/permutations
79,Word Search,35.6%,Medium,0.4122729384694104, https://leetcode.com/problems/word-search
735,Asteroid Collision,41.0%,Medium,0.4100436801024917, https://leetcode.com/problems/asteroid-collision
675,Cut Off Trees for Golf Event,34.6%,Hard,0.40225040958769, https://leetcode.com/problems/cut-off-trees-for-golf-event
378,Kth Smallest Element in a Sorted Matrix,54.3%,Medium,0.4017523534768937, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
1011,Capacity To Ship Packages Within D Days,58.1%,Medium,0.3980529335976609, https://leetcode.com/problems/capacity-to-ship-packages-within-d-days
1335,Minimum Difficulty of a Job Schedule,57.6%,Hard,0.3963047387095001, https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule
85,Maximal Rectangle,37.7%,Hard,0.3942163955722937, https://leetcode.com/problems/maximal-rectangle
1197,Minimum Knight Moves,36.1%,Medium,0.3935887840568515, https://leetcode.com/problems/minimum-knight-moves
688,Knight Probability in Chessboard,48.9%,Medium,0.3897785119404648, https://leetcode.com/problems/knight-probability-in-chessboard
57,Insert Interval,33.5%,Hard,0.3889321379062142, https://leetcode.com/problems/insert-interval
1215,Stepping Numbers,41.6%,Medium,0.3856624808119847, https://leetcode.com/problems/stepping-numbers
1057,Campus Bikes,57.7%,Medium,0.3787139017009125, https://leetcode.com/problems/campus-bikes
75,Sort Colors,47.3%,Medium,0.3727364556976202, https://leetcode.com/problems/sort-colors
101,Symmetric Tree,46.8%,Easy,0.372371993620526, https://leetcode.com/problems/symmetric-tree
1279,Traffic Light Controlled Intersection,74.3%,Easy,0.3711760346295322, https://leetcode.com/problems/traffic-light-controlled-intersection
336,Palindrome Pairs,33.7%,Hard,0.3591927799310734, https://leetcode.com/problems/palindrome-pairs
556,Next Greater Element III,31.7%,Medium,0.3584697395147556, https://leetcode.com/problems/next-greater-element-iii
978,Longest Turbulent Subarray,46.6%,Medium,0.3581093214258754, https://leetcode.com/problems/longest-turbulent-subarray
1032,Stream of Characters,48.3%,Hard,0.3573619930897707, https://leetcode.com/problems/stream-of-characters
387,First Unique Character in a String,53.4%,Easy,0.3502477066068738, https://leetcode.com/problems/first-unique-character-in-a-string
332,Reconstruct Itinerary,36.7%,Medium,0.3499348287861282, https://leetcode.com/problems/reconstruct-itinerary
1100,Find K-Length Substrings With No Repeated Characters,72.7%,Medium,0.3483066942682158, https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters
628,Maximum Product of Three Numbers,47.1%,Easy,0.3483066942682158, https://leetcode.com/problems/maximum-product-of-three-numbers
13,Roman to Integer,55.7%,Easy,0.3475487624761075, https://leetcode.com/problems/roman-to-integer
39,Combination Sum,56.1%,Medium,0.3465348559025278, https://leetcode.com/problems/combination-sum
312,Burst Balloons,51.8%,Hard,0.3462131701037017, https://leetcode.com/problems/burst-balloons
529,Minesweeper,59.1%,Medium,0.3416302106614813, https://leetcode.com/problems/minesweeper
1130,Minimum Cost Tree From Leaf Values,66.1%,Medium,0.3378775536343193, https://leetcode.com/problems/minimum-cost-tree-from-leaf-values
133,Clone Graph,34.8%,Medium,0.3367056360854537, https://leetcode.com/problems/clone-graph
287,Find the Duplicate Number,55.5%,Medium,0.3354472222404036, https://leetcode.com/problems/find-the-duplicate-number
